"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2017051700524",2017,"051700524",337313,389288,"-2.944201","53.396699","Merseyside","Slight",2,1,2017-02-28,"Tuesday",11:10:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Dual carriageway",30,"T or staggered junction","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006556",2017-02-28 11:10:00
"2017051700527",2017,"051700527",340280,389806,"-2.899685","53.401698","Merseyside","Slight",1,1,2017-02-28,"Tuesday",13:55:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006577",2017-02-28 13:55:00
"2017051700529",2017,"051700529",334284,389977,"-2.989889","53.402522","Merseyside","Slight",1,1,2017-03-01,"Wednesday",22:45:00,"Liverpool","E08000012","E08000012","A",NA,"Dual carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Raining + high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033756",2017-03-01 22:45:00
"2017051700531",2017,"051700531",337043,390615,"-2.948526","53.408593","Merseyside","Slight",2,1,2017-03-01,"Wednesday",14:00:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01006691",2017-03-01 14:00:00
"2017051700534",2017,"051700534",340051,390999,"-2.903356","53.412394","Merseyside","Slight",2,1,2017-03-02,"Thursday",09:00:00,"Liverpool","E08000012","E08000012","A",NA,"Dual carriageway",40,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006565",2017-03-02 09:00:00
"2017051700545",2017,"051700545",340450,389284,"-2.89703","53.397026","Merseyside","Slight",2,1,2017-03-03,"Friday",13:41:00,"Liverpool","E08000012","E08000012","A",NA,"Roundabout",40,"Roundabout","Give way or uncontrolled","B",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006582",2017-03-03 13:41:00
"2017051700550",2017,"051700550",340444,392041,"-2.897641","53.421804","Merseyside","Slight",3,5,2017-03-03,"Friday",20:35:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Roundabout",20,"Mini-roundabout","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006570",2017-03-03 20:35:00
"2017051700556",2017,"051700556",335541,388595,"-2.970703","53.390257","Merseyside","Slight",1,1,2017-03-04,"Saturday",14:10:00,"Liverpool","E08000012","E08000012","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006518",2017-03-04 14:10:00
"2017051700557",2017,"051700557",334735,393097,"-2.983754","53.430618","Merseyside","Slight",2,1,2017-03-04,"Saturday",15:45:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01006778",2017-03-04 15:45:00
"2017051700558",2017,"051700558",336175,392309,"-2.961924","53.423713","Merseyside","Slight",4,1,2017-03-04,"Saturday",19:57:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01006562",2017-03-04 19:57:00
