"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"202006A166702",2020,"06A166702",384663,399060,-2.232608,53.488042,"Greater Manchester","Serious",1,1,2020-01-05,"Sunday",06:03:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"T or staggered junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033651",2020-01-05 06:03:00
"202006A166830",2020,"06A166830",385996,399803,-2.212552,53.494758,"Greater Manchester","Slight",2,1,2020-01-08,"Wednesday",12:50:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01005129",2020-01-08 12:50:00
"202006A166908",2020,"06A166908",388152,394369,-2.179848,53.445968,"Greater Manchester","Slight",2,3,2020-01-02,"Thursday",11:00:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01005200",2020-01-02 11:00:00
"202006A167096",2020,"06A167096",383592,398131,-2.2487,53.479659,"Greater Manchester","Slight",1,1,2020-01-07,"Tuesday",17:04:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Fine + high winds","Dry","None","None","Urban","No","Non-trunk","E01033658",2020-01-07 17:04:00
"202006A167282",2020,"06A167282",387456,401185,-2.190602,53.507217,"Greater Manchester","Slight",2,1,2020-01-06,"Monday",18:09:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005228",2020-01-06 18:09:00
"202006A167327",2020,"06A167327",384739,397771,-2.2314,53.476458,"Greater Manchester","Slight",2,1,2020-01-19,"Sunday",12:00:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","B",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033654",2020-01-19 12:00:00
"202006A167363",2020,"06A167363",386268,401880,-2.208544,53.513434,"Greater Manchester","Slight",3,2,2020-01-13,"Monday",16:55:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Zebra","Darkness - lighting unknown","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005205",2020-01-13 16:55:00
"202006A167450",2020,"06A167450",384979,400585,-2.227919,53.501758,"Greater Manchester","Slight",3,5,2020-01-18,"Saturday",16:45:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Other","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033676",2020-01-18 16:45:00
"202006A168158",2020,"06A168158",385001,397882,-2.227458,53.477463,"Greater Manchester","Serious",1,1,2020-01-31,"Friday",17:20:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Unknown",30,"Other junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights unlit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033661",2020-01-31 17:20:00
"202006A168509",2020,"06A168509",384787,398584,-2.230716,53.483767,"Greater Manchester","Fatal",1,1,2020-02-16,"Sunday",03:25:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining + high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033659",2020-02-16 03:25:00
