"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"201806A139248",2018,"06A139248",384121,398252,-2.240735,53.480763,"Greater Manchester","Slight",2,1,2018-01-01,"Monday",19:32:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","One way street",20,"Crossroads","Stop sign","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Other","Wet or damp","None","None","Urban","No","Non-trunk","E01033653",2018-01-01 19:32:00
"201806A139529",2018,"06A139529",384176,398082,-2.239898,53.479237,"Greater Manchester","Slight",1,1,2018-01-16,"Tuesday",17:10:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","No","Non-trunk","E01033653",2018-01-16 17:10:00
"201806A139664",2018,"06A139664",384914,397748,-2.228762,53.476256,"Greater Manchester","Slight",1,1,2018-01-16,"Tuesday",19:10:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","No","Non-trunk","E01033661",2018-01-16 19:10:00
"201806A139686",2018,"06A139686",383055,397318,-2.256748,53.472335,"Greater Manchester","Slight",2,1,2018-01-17,"Wednesday",22:56:00,"Manchester","E08000003","E08000003","A",NA,"Roundabout",30,"Roundabout","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining + high winds","Wet or damp","None","None","Urban","No","Non-trunk","E01033682",2018-01-17 22:56:00
"201806A139891",2018,"06A139891",383672,397243,-2.247449,53.47168,"Greater Manchester","Slight",1,1,2018-01-21,"Sunday",02:30:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","No","Non-trunk","E01033656",2018-01-21 02:30:00
"201806A139984",2018,"06A139984",384833,397522,-2.229972,53.474223,"Greater Manchester","Serious",1,1,2018-01-22,"Monday",17:10:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"More than 4 arms (not roundabout)","Auto traffic signal","A(M)",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lighting unknown","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033654",2018-01-22 17:10:00
"201806A140021",2018,"06A140021",383869,397423,-2.24449,53.473304,"Greater Manchester","Slight",2,1,2018-01-26,"Friday",00:58:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033656",2018-01-26 00:58:00
"201806A140139",2018,"06A140139",384343,398785,-2.237417,53.48556,"Greater Manchester","Serious",1,1,2018-02-01,"Thursday",18:55:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",20,"T or staggered junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033664",2018-02-01 18:55:00
"201806A140146",2018,"06A140146",384361,398100,-2.237111,53.479404,"Greater Manchester","Slight",1,1,2018-02-04,"Sunday",00:13:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033653",2018-02-04 00:13:00
"201806A140191",2018,"06A140191",384688,397862,-2.232173,53.477275,"Greater Manchester","Slight",1,1,2018-01-18,"Thursday",02:15:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","No","Non-trunk","E01033654",2018-01-18 02:15:00
