"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"201906A153947",2019,"06A153947",384420,397909,-2.236213,53.477689,"Greater Manchester","Slight",2,1,2019-02-05,"Tuesday",20:12:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Raining + high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033653",2019-02-05 20:12:00
"201906A153967",2019,"06A153967",383618,397493,-2.248275,53.473926,"Greater Manchester","Slight",1,2,2019-02-24,"Sunday",00:18:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033683",2019-02-24 00:18:00
"201906A154089",2019,"06A154089",384092,397559,-2.241137,53.474533,"Greater Manchester","Slight",2,1,2019-02-10,"Sunday",03:54:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"More than 4 arms (not roundabout)","Auto traffic signal","B",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033662",2019-02-10 03:54:00
"201906A154107",2019,"06A154107",384273,398451,-2.238455,53.482556,"Greater Manchester","Serious",1,1,2019-02-26,"Tuesday",10:00:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033658",2019-02-26 10:00:00
"201906A154360",2019,"06A154360",384174,397418,-2.239895,53.473269,"Greater Manchester","Slight",2,1,2019-01-24,"Thursday",16:40:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01005128",2019-01-24 16:40:00
"201906A154429",2019,"06A154429",384856,398505,-2.229673,53.483059,"Greater Manchester","Slight",3,1,2019-03-10,"Sunday",21:15:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining + high winds","Wet or damp","None","None","Urban","No","Non-trunk","E01033659",2019-03-10 21:15:00
"201906A154584",2019,"06A154584",385289,397076,-2.223081,53.470227,"Greater Manchester","Slight",2,1,2019-02-14,"Thursday",11:55:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Roundabout",30,"Roundabout","Give way or uncontrolled","A",NA,"None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01005065",2019-02-14 11:55:00
"201906A154795",2019,"06A154795",384455,396870,-2.235634,53.468352,"Greater Manchester","Slight",1,1,2019-03-14,"Thursday",23:00:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining + high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005210",2019-03-14 23:00:00
"201906A154817",2019,"06A154817",383351,398348,-2.252343,53.481602,"Greater Manchester","Slight",2,2,2019-03-20,"Wednesday",13:15:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033658",2019-03-20 13:15:00
"201906A154854",2019,"06A154854",384171,397431,-2.239941,53.473385,"Greater Manchester","Slight",2,1,2019-03-21,"Thursday",14:25:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033662",2019-03-21 14:25:00
"201906A155200",2019,"06A155200",383617,397394,-2.248285,53.473036,"Greater Manchester","Serious",1,1,2019-02-09,"Saturday",20:30:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Central refuge","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033656",2019-02-09 20:30:00
"201906A155268",2019,"06A155268",384217,399208,-2.239337,53.489359,"Greater Manchester","Fatal",2,2,2019-04-06,"Saturday",23:42:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","One way street",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033665",2019-04-06 23:42:00
"201906A155316",2019,"06A155316",384373,398094,-2.23693,53.47935,"Greater Manchester","Slight",2,1,2019-04-03,"Wednesday",07:10:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033653",2019-04-03 07:10:00
"201906A155429",2019,"06A155429",384175,397915,-2.239905,53.477736,"Greater Manchester","Slight",2,1,2019-03-30,"Saturday",04:11:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033653",2019-03-30 04:11:00
"201906A155439",2019,"06A155439",383981,397767,-2.24282,53.4764,"Greater Manchester","Slight",2,1,2019-04-04,"Thursday",10:00:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033677",2019-04-04 10:00:00
"201906A155476",2019,"06A155476",383373,397556,-2.25197,53.474484,"Greater Manchester","Slight",2,1,2019-02-24,"Sunday",15:48:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033682",2019-02-24 15:48:00
"201906A155575",2019,"06A155575",384604,397793,-2.233435,53.476652,"Greater Manchester","Slight",2,1,2019-04-09,"Tuesday",04:55:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lighting unknown","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033654",2019-04-09 04:55:00
"201906A155670",2019,"06A155670",384726,398621,-2.231637,53.484098,"Greater Manchester","Slight",2,1,2019-04-09,"Tuesday",20:15:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033659",2019-04-09 20:15:00
"201906A155707",2019,"06A155707",383649,397612,-2.247814,53.474996,"Greater Manchester","Slight",2,1,2019-03-28,"Thursday",08:25:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Central refuge","Daylight","Snowing no high winds","Dry","None","None","Urban","No","Non-trunk","E01033683",2019-03-28 08:25:00
"201906A155725",2019,"06A155725",383492,397868,-2.250193,53.477292,"Greater Manchester","Serious",1,1,2019-04-12,"Friday",22:20:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033682",2019-04-12 22:20:00
"201906A155877",2019,"06A155877",384307,398050,-2.237923,53.478953,"Greater Manchester","Slight",2,1,2019-04-13,"Saturday",23:50:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033653",2019-04-13 23:50:00
"201906A156230",2019,"06A156230",384472,397756,-2.235422,53.476315,"Greater Manchester","Slight",1,1,2019-04-26,"Friday",12:15:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005128",2019-04-26 12:15:00
"201906A156413",2019,"06A156413",384742,397790,-2.231356,53.476629,"Greater Manchester","Slight",1,1,2019-05-02,"Thursday",07:07:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"More than 4 arms (not roundabout)","Auto traffic signal","B",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033661",2019-05-02 07:07:00
"201906A156478",2019,"06A156478",384797,398551,-2.230564,53.483471,"Greater Manchester","Slight",1,1,2019-05-03,"Friday",18:20:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"T or staggered junction","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033659",2019-05-03 18:20:00
"201906A156831",2019,"06A156831",384061,398185,-2.241636,53.480159,"Greater Manchester","Slight",2,1,2019-05-08,"Wednesday",20:45:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033658",2019-05-08 20:45:00
"201906A156884",2019,"06A156884",384455,398850,-2.235732,53.486148,"Greater Manchester","Slight",1,1,2019-05-17,"Friday",15:20:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033667",2019-05-17 15:20:00
"201906A156885",2019,"06A156885",384226,398863,-2.239184,53.486258,"Greater Manchester","Slight",2,1,2019-05-10,"Friday",20:40:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","One way street",20,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033664",2019-05-10 20:40:00
"201906A156992",2019,"06A156992",383342,398345,-2.252478,53.481575,"Greater Manchester","Slight",1,1,2019-05-21,"Tuesday",08:00:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"More than 4 arms (not roundabout)","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033681",2019-05-21 08:00:00
"201906A157023",2019,"06A157023",383777,399121,-2.245964,53.488563,"Greater Manchester","Slight",1,1,2019-04-27,"Saturday",22:35:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033674",2019-04-27 22:35:00
"201906A157313",2019,"06A157313",383560,398043,-2.249178,53.478867,"Greater Manchester","Slight",2,1,2019-05-21,"Tuesday",17:43:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033658",2019-05-21 17:43:00
"201906A157323",2019,"06A157323",384387,398623,-2.236746,53.484106,"Greater Manchester","Slight",1,1,2019-05-15,"Wednesday",23:12:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033667",2019-05-15 23:12:00
"201906A157326",2019,"06A157326",385016,395694,-2.227127,53.457798,"Greater Manchester","Slight",2,1,2019-05-25,"Saturday",17:44:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"T or staggered junction","Auto traffic signal","B",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01005244",2019-05-25 17:44:00
"201906A157433",2019,"06A157433",384354,398654,-2.237245,53.484383,"Greater Manchester","Slight",2,1,2019-05-29,"Wednesday",16:20:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","One way street",20,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","No","Non-trunk","E01033667",2019-05-29 16:20:00
"201906A157435",2019,"06A157435",384087,397580,-2.241214,53.474722,"Greater Manchester","Slight",2,1,2019-05-26,"Sunday",12:20:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","B",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033662",2019-05-26 12:20:00
"201906A157445",2019,"06A157445",385461,397661,-2.220517,53.47549,"Greater Manchester","Slight",2,1,2019-06-03,"Monday",08:40:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033661",2019-06-03 08:40:00
"201906A157461",2019,"06A157461",383665,397248,-2.247555,53.471725,"Greater Manchester","Slight",2,1,2019-05-30,"Thursday",12:00:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033656",2019-05-30 12:00:00
"201906A157467",2019,"06A157467",383554,397974,-2.249265,53.478247,"Greater Manchester","Slight",1,1,2019-05-26,"Sunday",23:30:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033677",2019-05-26 23:30:00
"201906A157469",2019,"06A157469",384456,397956,-2.235673,53.478113,"Greater Manchester","Serious",1,1,2019-05-27,"Monday",08:30:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033654",2019-05-27 08:30:00
"201906A157646",2019,"06A157646",384352,397516,-2.237218,53.474155,"Greater Manchester","Slight",2,1,2019-06-04,"Tuesday",12:30:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01005128",2019-06-04 12:30:00
"201906A157655",2019,"06A157655",384201,397833,-2.239509,53.476999,"Greater Manchester","Slight",2,1,2019-06-06,"Thursday",17:10:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033653",2019-06-06 17:10:00
"201906A157775",2019,"06A157775",384302,397689,-2.23798,53.475708,"Greater Manchester","Slight",2,1,2019-06-03,"Monday",16:08:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033662",2019-06-03 16:08:00
"201906A157808",2019,"06A157808",383481,397549,-2.250342,53.474425,"Greater Manchester","Slight",3,3,2019-06-14,"Friday",19:00:00,"Manchester","E08000003","E08000003","B",NA,"Dual carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033683",2019-06-14 19:00:00
"201906A157824",2019,"06A157824",386215,401661,-2.209334,53.511464,"Greater Manchester","Slight",1,1,2019-06-11,"Tuesday",16:10:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Control by other authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01005205",2019-06-11 16:10:00
"201906A157886",2019,"06A157886",383653,398297,-2.24779,53.481153,"Greater Manchester","Slight",1,1,2019-06-08,"Saturday",15:25:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033658",2019-06-08 15:25:00
"201906A158096",2019,"06A158096",384917,398454,-2.228751,53.482602,"Greater Manchester","Slight",1,1,2019-06-17,"Monday",07:50:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033659",2019-06-17 07:50:00
"201906A158205",2019,"06A158205",383997,397740,-2.242578,53.476157,"Greater Manchester","Slight",2,1,2019-06-23,"Sunday",02:00:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033677",2019-06-23 02:00:00
"201906A158258",2019,"06A158258",384103,398888,-2.241039,53.486479,"Greater Manchester","Slight",2,1,2019-05-30,"Thursday",14:40:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Other junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033664",2019-05-30 14:40:00
"201906A158279",2019,"06A158279",384827,397647,-2.230068,53.475346,"Greater Manchester","Slight",2,1,2019-06-27,"Thursday",16:45:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033654",2019-06-27 16:45:00
