"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2019060104244",2019,"060104244",382246,389389,-2.268488,53.401039,"Greater Manchester","Slight",2,1,2019-03-11,"Monday",21:12:00,"Manchester","E08000003","E08000003","Motorway",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Raining no high winds","Wet or damp","None","None","Urban","Yes","Trunk (Roads managed by Highways England)","E01005269",2019-03-11 21:12:00
"201906A152268",2019,"06A152268",383394,397566,-2.251654,53.474575,"Greater Manchester","Slight",2,1,2019-01-08,"Tuesday",17:15:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Auto traffic signal","B",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033683",2019-01-08 17:15:00
"201906A152591",2019,"06A152591",384744,397724,-2.231322,53.476036,"Greater Manchester","Slight",2,1,2019-01-17,"Thursday",09:05:00,"Manchester","E08000003","E08000003","B",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033654",2019-01-17 09:05:00
"201906A152705",2019,"06A152705",384263,398516,-2.238609,53.48314,"Greater Manchester","Serious",1,1,2019-01-10,"Thursday",18:29:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",20,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033658",2019-01-10 18:29:00
"201906A152736",2019,"06A152736",384122,398257,-2.240721,53.480808,"Greater Manchester","Slight",2,1,2019-01-16,"Wednesday",18:43:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033658",2019-01-16 18:43:00
"201906A152777",2019,"06A152777",383597,398289,-2.248633,53.48108,"Greater Manchester","Slight",1,1,2019-01-15,"Tuesday",12:00:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","One way street",30,"T or staggered junction","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033658",2019-01-15 12:00:00
"201906A153204",2019,"06A153204",384188,398385,-2.239733,53.48196,"Greater Manchester","Slight",2,1,2019-02-02,"Saturday",16:30:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","One way street",20,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033658",2019-02-02 16:30:00
"201906A153586",2019,"06A153586",384116,398924,-2.240845,53.486803,"Greater Manchester","Slight",3,1,2019-02-17,"Sunday",12:30:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",20,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033658",2019-02-17 12:30:00
"201906A153655",2019,"06A153655",384285,398127,-2.238258,53.479644,"Greater Manchester","Fatal",1,1,2019-02-19,"Tuesday",09:15:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033653",2019-02-19 09:15:00
"201906A153728",2019,"06A153728",383381,398023,-2.251874,53.478682,"Greater Manchester","Slight",1,1,2019-02-19,"Tuesday",14:15:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Authorised person","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033682",2019-02-19 14:15:00
