"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"201606A010356",2016,"06A010356",384856,398169,-2.229669,53.480015,"Greater Manchester","Slight",2,1,2016-01-04,"Monday",08:30:00,"Manchester","E08000003","E08000003","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033659",2016-01-04 08:30:00
"201606A010462",2016,"06A010462",384435,398869,-2.236048,53.486294,"Greater Manchester","Slight",2,1,2016-01-06,"Wednesday",23:30:00,"Manchester","E08000003","E08000003","A",NA,"Dual carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033664",2016-01-06 23:30:00
"201606A010480",2016,"06A010480",384882,400860,-2.229408,53.504204,"Greater Manchester","Slight",1,1,2016-01-05,"Tuesday",08:35:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005146",2016-01-05 08:35:00
"201606A010489",2016,"06A010489",385853,403138,-2.214872,53.524707,"Greater Manchester","Slight",2,1,2016-01-05,"Tuesday",10:33:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005136",2016-01-05 10:33:00
"201606A010493",2016,"06A010493",383577,399556,-2.249014,53.492443,"Greater Manchester","Slight",2,2,2016-01-05,"Tuesday",17:45:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Crossroads","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033674",2016-01-05 17:45:00
"201606A010519",2016,"06A010519",385836,402827,-2.215114,53.521911,"Greater Manchester","Slight",2,1,2016-01-04,"Monday",18:45:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"More than 4 arms (not roundabout)","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005140",2016-01-04 18:45:00
"201606A010549",2016,"06A010549",385094,398945,-2.22612,53.486997,"Greater Manchester","Slight",2,1,2016-01-05,"Tuesday",08:50:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005130",2016-01-05 08:50:00
"201606A010551",2016,"06A010551",383658,403266,-2.247988,53.525793,"Greater Manchester","Slight",2,1,2016-01-02,"Saturday",18:00:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01005160",2016-01-02 18:00:00
"201606A010557",2016,"06A010557",386358,402169,-2.207212,53.51601,"Greater Manchester","Slight",2,1,2016-01-01,"Friday",02:30:00,"Manchester","E08000003","E08000003","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01005207",2016-01-01 02:30:00
"201606A010582",2016,"06A010582",384310,398062,-2.237891,53.479037,"Greater Manchester","Slight",1,1,2016-01-06,"Wednesday",21:40:00,"Manchester","E08000003","E08000003","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","Roadworks","None","Urban","Yes","Non-trunk","E01033653",2016-01-06 21:40:00
